subject,trial,session_pitch,throwing_hand,pitch_speed_mph,body_mass_kg,height_m,release_time_s,lead_foot_contact_time_s,shoulder_ir_moment_peak_Nm,shoulder_ir_moment_peak_time_s,elbow_varus_moment_peak_Nm,elbow_varus_moment_peak_time_s,shoulder_distraction_force_peak_N,shoulder_moment_norm_peak_Nm,elbow_moment_norm_peak_Nm,shoulder_force_norm_peak_N,elbow_force_norm_peak_N,rear_hip_moment_peak_Nm,rear_knee_moment_peak_Nm,rear_ankle_moment_peak_Nm,lead_hip_moment_peak_Nm,lead_knee_moment_peak_Nm,lead_ankle_moment_peak_Nm,lumbar_moment_peak_Nm,trunk_closure_residual_fraction,unmatched_plate_frames,flag,obp_shoulder_ir_moment_Nm,obp_elbow_varus_moment_Nm
001000,001000_001718_75_215_007_FF_908,1718_3,L,90.8000,97.5240,1.9050,1.4806,1.3361,158.6853,1.4556,142.1216,1.4500,1295.4269,196.9484,143.3698,1352.1661,1477.5299,309.3480,294.5688,98.4931,293.0113,209.0905,85.9314,320.0178,0.1889,16,,138.4635,137.4771
001003,001003_001729_79_233_002_FF_906,1729_1,R,90.6000,105.6888,2.0066,2.1139,1.9333,121.4317,2.0750,119.7498,2.0667,1259.7311,250.0060,122.3886,1315.2955,1479.7430,268.7192,242.3716,71.1765,355.1353,218.3375,68.5547,467.6698,0.1987,10,,121.3403,127.9654
001003,001003_001729_79_233_004_FF_905,1729_2,R,90.5000,105.6888,2.0066,1.9667,1.7889,122.1843,1.9278,117.8878,1.9194,1247.8373,256.6536,122.0128,1293.8732,1448.1604,260.1835,239.1992,72.4896,335.3169,218.0093,100.5707,488.0177,0.1678,11,,120.4391,126.7422
001003,001003_001729_79_233_006_FF_904,1729_3,R,90.4000,105.6888,2.0066,2.0972,1.9194,125.3103,2.0556,125.3735,2.0500,1318.4244,279.5334,128.5070,1346.4997,1505.5975,247.2390,228.0836,64.3375,355.3175,198.4650,77.9516,447.2346,0.1737,9,,119.7802,127.2500
001633,001633_002891_74_251_009_FF_873,2891_1,R,87.3000,113.8536,1.8796,1.6694,1.4833,124.1919,1.6194,119.9210,1.6194,1823.9663,268.7677,119.9288,1904.7033,1776.6872,420.0415,208.8684,98.1576,369.6405,274.1513,66.3230,561.1885,0.3121,22,,145.2012,151.2273
001633,001633_002891_74_251_010_FF_872,2891_2,R,87.2000,113.8536,1.8796,1.6250,1.4250,117.9294,1.5778,113.9306,1.5750,1785.5396,307.1182,114.0030,1858.6372,1741.1054,401.0381,220.4272,129.4139,362.2879,243.5947,61.3445,509.7741,0.2873,17,,161.6363,168.4861
001633,001633_002891_74_251_011_FF_869,2891_3,R,86.9000,113.8536,1.8796,1.5111,1.3028,116.1400,1.4667,109.6464,1.4667,1753.3252,271.8722,109.7264,1825.2881,1733.0554,438.2628,208.0428,140.8032,367.5497,276.4021,67.0786,484.1485,0.2780,15,,134.1206,137.7301
001633,001633_002891_74_251_012_FF_879,2891_4,R,87.9000,113.8536,1.8796,1.6639,1.4667,129.0461,1.6194,122.9840,1.6194,1791.4696,293.0663,123.0330,1858.5044,1755.2643,347.9299,218.1318,110.6578,366.8057,274.8058,71.5387,489.7676,0.2529,46,,127.1321,133.5403
001633,001633_002891_74_251_013_FF_879,2891_5,R,87.9000,113.8536,1.8796,1.4944,1.2889,120.8938,1.4444,116.0260,1.4444,1781.7492,273.2899,116.1371,1875.4887,1773.7409,448.9314,233.8050,132.6867,463.8310,321.8745,83.4097,493.5017,0.2828,29,,136.2576,140.1286
001706,001706_003228_73_207_002_FF_906,3228_1,R,90.6000,93.8952,1.8542,1.5722,1.3639,127.4499,1.5444,115.5673,1.5333,1367.5451,210.8355,118.6762,1434.7140,1587.6772,260.5337,161.3684,73.4134,422.2470,240.9261,179.9870,433.0871,0.1655,21,,121.4164,122.0950
001706,001706_003228_73_207_003_FF_911,3228_2,R,91.1000,93.8952,1.8542,1.4528,1.2722,126.8688,1.4222,116.5768,1.4167,1354.4397,198.9240,119.4128,1412.5177,1576.3077,263.9929,165.0195,73.8368,423.6550,242.4371,180.9111,417.0318,0.1573,21,,123.2830,123.8884
001706,001706_003228_73_207_004_FF_920,3228_3,R,92.0000,93.8952,1.8542,1.5972,1.4194,126.2138,1.5694,113.4684,1.5583,1349.3347,205.6017,119.4664,1408.0396,1548.1010,290.3310,166.3406,75.6623,431.7986,240.0397,185.2009,482.2918,0.1733,22,,121.2890,121.5582
001706,001706_003228_73_207_006_FF_906,3228_4,R,90.6000,93.8952,1.8542,1.7361,1.5694,127.4892,1.7111,112.6347,1.6972,1307.0727,202.6196,115.7006,1371.5294,1532.8709,250.3389,168.0821,77.0613,424.9972,212.3417,173.2698,415.4347,0.1691,99,,119.2842,119.5653
001706,001706_003228_73_207_007_FF_908,3228_5,R,90.8000,93.8952,1.8542,1.8917,1.6972,124.9333,1.8694,112.0598,1.8528,1387.6038,215.7119,115.8486,1457.1212,1589.3655,245.6690,172.6607,79.4835,380.6386,235.3599,179.4938,364.7445,0.1652,24,,119.6214,120.3966
